Simulation #158, Parameters: eta = 0.748393 | rho = 0.366830 | v0 = 0.0418943s
Step 457000 | Order = 0.010985721261393211 | Time = 200s
Step 458000 | Order = 0.0096396051084902002 | Time = 200s
Step 459000 | Order = 0.017691050963918393 | Time = 201s
Step 460000 | Order = 0.020913256324795407 | Time = 201s
Step 461000 | Order = 0.0051414096736334125 | Time = 201s
Step 462000 | Order = 0.018834430506649652 | Time = 202s
Step 463000 | Order = 0.012626323512411382 | Time = 202s
Step 464000 | Order = 0.0031353165728502971 | Time = 203s
Step 465000 | Order = 0.0037284945827258205 | Time = 203s
Step 466000 | Order = 0.018568721806830456 | Time = 204s
Step 467000 | Order = 0.011798768308645858 | Time = 204s
Step 468000 | Order = 0.0046581243821675724 | Time = 204s
Step 469000 | Order = 0.0082383593706581888 | Time = 205s
Step 470000 | Order = 0.01109289988694564 | Time = 205s
Step 471000 | Order = 0.022762167611462235 | Time = 206s
Step 472000 | Order = 0.010575968795162491 | Time = 206s
Step 473000 | Order = 0.0074309051371202741 | Time = 207s
Step 474000 | Order = 0.012063948102794835 | Time = 207s
Step 475000 | Order = 0.011150239993204523 | Time = 207s
Step 476000 | Order = 0.010702738701045669 | Time = 208s
Step 477000 | Order = 0.005939229748333448 | Time = 208s
Step 478000 | Order = 0.016484124016149897 | Time = 209s
Step 479000 | Order = 0.008878632062764456 | Time = 209s
Step 480000 | Order = 0.002252851307218424 | Time = 210s
Step 481000 | Order = 0.0064732074568015895 | Time = 210s
Step 482000 | Order = 0.010973857369706651 | Time = 210s
