Simulation #5, Parameters: eta = 0.824178 | rho = 0.203223 | v0 = 0.0105289s
Step 310000 | Order = 0.012218515661531712 | Time = 77s
Step 311000 | Order = 0.016754696993725362 | Time = 77s
Step 312000 | Order = 0.019112436640658564 | Time = 77s
Step 313000 | Order = 0.010199295744552035 | Time = 77s
Step 314000 | Order = 0.014150815828209066 | Time = 78s
Step 315000 | Order = 0.024501952922920418 | Time = 78s
Step 316000 | Order = 0.0044744317485903877 | Time = 78s
Step 317000 | Order = 0.0059157656594741896 | Time = 78s
Step 318000 | Order = 0.022472615616085285 | Time = 79s
Step 319000 | Order = 0.0049941228738938463 | Time = 79s
Step 320000 | Order = 0.019460399218113041 | Time = 79s
Step 321000 | Order = 0.015965676831935081 | Time = 80s
Step 322000 | Order = 0.0047578525320185775 | Time = 80s
Step 323000 | Order = 0.0016469002630689362 | Time = 80s
Step 324000 | Order = 0.024583228165384448 | Time = 80s
Step 325000 | Order = 0.01037214666966162 | Time = 80s
Step 326000 | Order = 0.009746858938523591 | Time = 81s
Step 327000 | Order = 0.01991051117380677 | Time = 81s
Step 328000 | Order = 0.010199712590405757 | Time = 81s
Step 329000 | Order = 0.012276153570272412 | Time = 81s
Step 330000 | Order = 0.0024332648937701916 | Time = 82s
Step 331000 | Order = 0.008697867886279147 | Time = 82s
Step 332000 | Order = 0.0045487447279119577 | Time = 82s
Step 333000 | Order = 0.012719724309252828 | Time = 82s
Step 334000 | Order = 0.015079280055385742 | Time = 82s
Step 335000 | Order = 0.018353567427722914 | Time = 83s
Step 336000 | Order = 0.0073801509343005148 | Time = 83s
Step 337000 | Order = 0.012478758035784495 | Time = 83s
Step 338000 | Order = 0.0087310599883264998 | Time = 83s
Step 339000 | Order = 0.014711932086267357 | Time = 84s
Step 340000 | Order = 0.021989918066158784 | Time = 84s
Step 341000 | Order = 0.025431637212093513 | Time = 84s
Step 342000 | Order = 0.0083191599637580781 | Time = 84s
Step 343000 | Order = 0.0044583682129797405 | Time = 84s
Step 344000 | Order = 0.016823978775688975 | Time = 85s
Step 345000 | Order = 0.0029965465797089936 | Time = 85s
Step 346000 | Order = 0.024016971415069407 | Time = 85s
Step 347000 | Order = 0.011752723157208829 | Time = 86s
Step 348000 | Order = 0.020190235535759733 | Time = 86s
Step 349000 | Order = 0.025878043437033978 | Time = 86s
Step 350000 | Order = 0.021941458053310235 | Time = 86s
Step 351000 | Order = 0.013560206739636977 | Time = 88s
Step 352000 | Order = 0.011899256058330135 | Time = 88s
Step 353000 | Order = 0.013234583067942313 | Time = 89s
Step 354000 | Order = 0.013957425964493205 | Time = 89s
Step 355000 | Order = 0.0049430722688962384 | Time = 89s
Step 356000 | Order = 0.0063785669607696752 | Time = 89s
Step 357000 | Order = 0.016327677033732016 | Time = 89s
Step 358000 | Order = 0.018487118089704324 | Time = 90s
Step 359000 | Order = 0.014708469549621917 | Time = 90s
Step 360000 | Order = 0.0064416320871423707 | Time = 90s
Step 361000 | Order = 0.018802995785468714 | Time = 91s
Step 362000 | Order = 0.0014168395411268326 | Time = 91s
Step 363000 | Order = 0.0093875586444423648 | Time = 91s
Step 364000 | Order = 0.038339880905015278 | Time = 91s
Step 365000 | Order = 0.033358962170926876 | Time = 91s
Step 366000 | Order = 0.014777378855726676 | Time = 92s
Step 367000 | Order = 0.026092603495648545 | Time = 92s
Step 368000 | Order = 0.016514911058016331 | Time = 92s
Step 369000 | Order = 0.0065150731485961516 | Time = 92s
Step 370000 | Order = 0.025778377045060072 | Time = 93s
Step 371000 | Order = 0.026937622789716398 | Time = 93s
Step 372000 | Order = 0.0024131994020539956 | Time = 93s
Step 373000 | Order = 0.023175670643686034 | Time = 93s
Step 374000 | Order = 0.017663739524536093 | Time = 94s
Step 375000 | Order = 0.012370487227262049 | Time = 94s
Step 376000 | Order = 0.020361105012419632 | Time = 94s
Step 377000 | Order = 0.019232842382683395 | Time = 94s
Step 378000 | Order = 0.019399380942124456 | Time = 94s
Step 379000 | Order = 0.019436928108268674 | Time = 95s
Step 380000 | Order = 0.027022170341203348 | Time = 95s
Step 381000 | Order = 0.013107594563402788 | Time = 95s
Step 382000 | Order = 0.021653276233396308 | Time = 95s
Step 383000 | Order = 0.02129215116483324 | Time = 96s
Step 384000 | Order = 0.022777447165959318 | Time = 96s
Step 385000 | Order = 0.020020595906668843 | Time = 96s
Step 386000 | Order = 0.0044546867800702872 | Time = 96s
Step 387000 | Order = 0.021796171016755322 | Time = 97s
Step 388000 | Order = 0.020610570437554893 | Time = 97s
Step 389000 | Order = 0.015250886220266956 | Time = 97s
Step 390000 | Order = 0.013951706489958722 | Time = 97s
Step 391000 | Order = 0.0091388511107346835 | Time = 98s
