Simulation #55, Parameters: eta = 0.160282 | rho = 0.207730 | v0 = 0.449991s
Step 333000 | Order = 0.49355726295670838 | Time = 100s
Step 334000 | Order = 0.59057728686615307 | Time = 101s
Step 335000 | Order = 0.60954785703009839 | Time = 101s
Step 336000 | Order = 0.63899681606697267 | Time = 101s
Step 337000 | Order = 0.62549483876579381 | Time = 101s
Step 338000 | Order = 0.60857935859495416 | Time = 102s
Step 339000 | Order = 0.67085838127742137 | Time = 102s
Step 340000 | Order = 0.65973042938405879 | Time = 102s
Step 341000 | Order = 0.69167088524962794 | Time = 103s
Step 342000 | Order = 0.68940474400024854 | Time = 103s
Step 343000 | Order = 0.67873876703239056 | Time = 103s
Step 344000 | Order = 0.64315105427123753 | Time = 104s
Step 345000 | Order = 0.64174321406922863 | Time = 104s
Step 346000 | Order = 0.60760068930577227 | Time = 104s
Step 347000 | Order = 0.68473675050809502 | Time = 104s
Step 348000 | Order = 0.66321694122748065 | Time = 105s
Step 349000 | Order = 0.60889722215186137 | Time = 105s
Step 350000 | Order = 0.69143693585557886 | Time = 105s
Step 351000 | Order = 0.63343412853300352 | Time = 106s
Step 352000 | Order = 0.66867775187347367 | Time = 106s
Step 353000 | Order = 0.63446012005273722 | Time = 106s
Step 354000 | Order = 0.67964995742909051 | Time = 107s
Step 355000 | Order = 0.61316045679494002 | Time = 107s
Step 356000 | Order = 0.62622528502625752 | Time = 107s
Step 357000 | Order = 0.60168474237844716 | Time = 108s
Step 358000 | Order = 0.65118734414453938 | Time = 108s
Step 359000 | Order = 0.73508366808660375 | Time = 108s
Step 360000 | Order = 0.66917222664201959 | Time = 108s
Step 361000 | Order = 0.61211938376676878 | Time = 109s
Step 362000 | Order = 0.63719232054706387 | Time = 109s
Step 363000 | Order = 0.67222185444096583 | Time = 109s
Step 364000 | Order = 0.66865456888276664 | Time = 110s
Step 365000 | Order = 0.62995606150401173 | Time = 110s
Step 366000 | Order = 0.68465957707979785 | Time = 110s
Step 367000 | Order = 0.63133806524504354 | Time = 111s
Step 368000 | Order = 0.65086528008419042 | Time = 111s
Step 369000 | Order = 0.65681361614683631 | Time = 111s
Step 370000 | Order = 0.62937341158569549 | Time = 111s
Step 371000 | Order = 0.67332632200223563 | Time = 112s
Step 372000 | Order = 0.63719947265226073 | Time = 112s
Step 373000 | Order = 0.60150145335957694 | Time = 112s
Step 374000 | Order = 0.62947223195490565 | Time = 113s
Step 375000 | Order = 0.66031022158967889 | Time = 113s
