
#0:
   ##0 - order: 0.025, binder: 0.394
   ##1 - order: 0.025, binder: 0.38
   ##2 - order: 0.025, binder: 0.337
   ##3 - order: 0.025, binder: 0.282
   ##4 - order: 0.025, binder: 0.276
   Final - Mean Order: 0.025, Mean Binder: 0.334

#106:
   ##0 - order: 0.124, binder: 0.369
   ##1 - order: 0.12, binder: 0.4
   ##2 - order: 0.109, binder: 0.398
   ##3 - order: 0.112, binder: 0.372
   ##4 - order: 0.116, binder: 0.375
   Final - Mean Order: 0.116, Mean Binder: 0.383

#107:
   ##0 - order: 0.618, binder: 0.663
   ##1 - order: 0.615, binder: 0.662
   ##2 - order: 0.62, binder: 0.661
   ##3 - order: 0.619, binder: 0.662
   ##4 - order: 0.616, binder: 0.661
   Final - Mean Order: 0.618, Mean Binder: 0.662

