Simulation #0, Parameters: eta = 0.813919 | rho = 0.382139 | v0 = 0.113207s
Step 446000 | Order = 0.0076425599320034902 | Time = 205s
Step 447000 | Order = 0.0050587696607685712 | Time = 205s
Step 448000 | Order = 0.014009112755131064 | Time = 206s
Step 449000 | Order = 0.016892086521772223 | Time = 206s
Step 450000 | Order = 0.0072449265629694693 | Time = 207s
Step 451000 | Order = 0.012546800758847879 | Time = 208s
Step 452000 | Order = 0.013556361035211994 | Time = 208s
Step 453000 | Order = 0.0042252136545316496 | Time = 209s
Step 454000 | Order = 0.010609633025850029 | Time = 209s
Step 455000 | Order = 0.024467360649563358 | Time = 209s
Step 456000 | Order = 0.010405410159431657 | Time = 210s
Step 457000 | Order = 0.017130784829379683 | Time = 210s
Step 458000 | Order = 0.016793662778412106 | Time = 211s
Step 459000 | Order = 0.0031680688645805365 | Time = 211s
Step 460000 | Order = 0.0049684703562856963 | Time = 212s
Step 461000 | Order = 0.021211172978003335 | Time = 212s
Step 462000 | Order = 0.029156696148033623 | Time = 213s
Step 463000 | Order = 0.012478094827874212 | Time = 213s
Step 464000 | Order = 0.0038312167317923807 | Time = 214s
Step 465000 | Order = 0.014261161200651072 | Time = 214s
Step 466000 | Order = 0.0081541380570824343 | Time = 214s
Step 467000 | Order = 0.0033896822527044526 | Time = 215s
Step 468000 | Order = 0.0031956206823661381 | Time = 215s
Step 469000 | Order = 0.001560986250444538 | Time = 216s
Step 470000 | Order = 0.0059097436111821538 | Time = 216s
Step 471000 | Order = 0.0086057684073840394 | Time = 217s
Step 472000 | Order = 0.004477259180696914 | Time = 217s
Step 473000 | Order = 0.0045821481524372393 | Time = 218s
Step 474000 | Order = 0.010327605846625142 | Time = 218s
Step 475000 | Order = 0.017417469588663886 | Time = 219s
Step 476000 | Order = 0.021071039213961498 | Time = 219s
Step 477000 | Order = 0.0034930992827806374 | Time = 219s
Step 478000 | Order = 0.0070005791147585003 | Time = 220s
Step 479000 | Order = 0.0072361715731744025 | Time = 220s
Step 480000 | Order = 0.012153389090196802 | Time = 221s
Step 481000 | Order = 0.012094070104470887 | Time = 221s
Step 482000 | Order = 0.0085298564495858639 | Time = 222s
